rank,id,name,win_rate,total_wins,total_matches,hunter_wins,hunter_matches,hunter_win_rate,bounty_wins,bounty_matches,bounty_win_rate,preferred_role
1,9184,Firefox,1.000,5,5,0,0,0.000,5,5,1.000,Bounty
2,5076,kitty,1.000,8,8,8,8,1.000,0,0,0.000,Hunter
3,6176,Skies,0.867,72,83,72,83,0.867,0,0,0.000,Hunter
4,8696,Clyd3,0.833,5,6,5,6,0.833,0,0,0.000,Hunter
5,7276,R.O.B.B.I.E.,0.833,10,12,10,12,0.833,0,0,0.000,Hunter
6,2652,Salacious,0.833,5,6,5,6,0.833,0,0,0.000,Hunter
7,0362,bubbles,0.833,5,6,0,0,0.000,5,6,0.833,Bounty
8,5413,Commander Mox,0.810,17,21,0,0,0.000,17,21,0.810,Bounty
9,2052,Camilla DeVoid,0.800,4,5,4,5,0.800,0,0,0.000,Hunter
10,9675,doki,0.800,4,5,0,0,0.000,4,5,0.800,Bounty
11,4391,RED,0.800,4,5,4,5,0.800,0,0,0.000,Hunter
12,0901,Kite,0.800,4,5,4,5,0.800,0,0,0.000,Hunter
13,9237,"""Rachael""",0.800,4,5,4,5,0.800,0,0,0.000,Hunter
14,6775,PR34CH3R,0.783,47,60,0,0,0.000,47,60,0.783,Bounty
15,8982,Dis,0.778,7,9,0,0,0.000,7,9,0.778,Bounty
16,5499,haxlotl,0.762,93,122,93,122,0.762,0,0,0.000,Hunter
17,8575,Rover,0.750,6,8,0,0,0.000,6,8,0.750,Bounty
18,7739,19,0.737,14,19,14,19,0.737,0,0,0.000,Hunter
19,7475,Statn,0.734,47,64,0,0,0.000,47,64,0.734,Bounty
20,8434,Aurora,0.733,11,15,0,0,0.000,11,15,0.733,Bounty
21,9448,piper,0.727,8,11,0,0,0.000,8,11,0.727,Bounty
22,5222,circuit mouse,0.686,94,137,0,0,0.000,94,137,0.686,Bounty
23,3415,Hot-Lock,0.674,359,533,359,533,0.674,0,0,0.000,Hunter
24,3311,sylvan,0.667,4,6,4,6,0.667,0,0,0.000,Hunter
25,2698,Druid,0.667,4,6,0,0,0.000,4,6,0.667,Bounty
26,6708,vice,0.667,4,6,4,6,0.667,0,0,0.000,Hunter
27,5367,the phonician,0.667,4,6,0,0,0.000,4,6,0.667,Bounty
28,6370,Hellvetika,0.667,6,9,6,9,0.667,0,0,0.000,Hunter
29,9190,D,0.667,10,15,0,0,0.000,10,15,0.667,Bounty
30,8856,niq V,0.667,4,6,4,6,0.667,0,0,0.000,Hunter
31,1613,MM & AS,0.667,4,6,4,6,0.667,0,0,0.000,Hunter
32,4457,Bonesaw,0.667,24,36,24,36,0.667,0,0,0.000,Hunter
33,4450,EVE,0.657,44,67,0,0,0.000,44,67,0.657,Bounty
34,4690,g money,0.650,104,160,0,0,0.000,104,160,0.650,Bounty
35,6405,kadence,0.643,9,14,9,14,0.643,0,0,0.000,Hunter
36,3656,ninja inferno,0.643,27,42,27,42,0.643,0,0,0.000,Hunter
37,7580,Real Deal,0.642,156,243,0,0,0.000,156,243,0.642,Bounty
38,2464,PartTim3r,0.640,16,25,16,25,0.640,0,0,0.000,Hunter
39,8888,Unknown (ID: 8888),0.636,7,11,7,11,0.636,0,0,0.000,Hunter
40,3047,Shepherd,0.636,7,11,0,0,0.000,7,11,0.636,Bounty
41,6169,rizzo,0.636,7,11,0,0,0.000,7,11,0.636,Bounty
42,1492,C.O.K.E,0.632,12,19,0,0,0.000,12,19,0.632,Bounty
43,3958,Diesel,0.625,5,8,0,0,0.000,5,8,0.625,Bounty
44,7713,Crimson Tide,0.625,10,16,10,16,0.625,0,0,0.000,Hunter
45,3607,ZZO,0.625,5,8,0,0,0.000,5,8,0.625,Bounty
46,3114,D-Cipher,0.625,5,8,0,0,0.000,5,8,0.625,Bounty
47,1178,sundance kid,0.624,123,197,123,197,0.624,0,0,0.000,Hunter
48,0867,Danger,0.613,76,124,76,124,0.613,0,0,0.000,Hunter
49,9280,Sparkplug,0.607,17,28,0,0,0.000,17,28,0.607,Bounty
50,4261,The Detective,0.605,104,172,104,172,0.605,0,0,0.000,Hunter
51,1707,Dodge,0.600,9,15,0,0,0.000,9,15,0.600,Bounty
52,1258,handler,0.600,3,5,3,5,0.600,0,0,0.000,Hunter
53,6940,Fil,0.600,3,5,3,5,0.600,0,0,0.000,Hunter
54,3639,Spider,0.600,3,5,0,0,0.000,3,5,0.600,Bounty
55,7465,CHA0S,0.600,12,20,12,20,0.600,0,0,0.000,Hunter
56,4424,Linkmindz,0.600,3,5,0,0,0.000,3,5,0.600,Bounty
57,1198,Zero,0.588,10,17,0,0,0.000,10,17,0.588,Bounty
58,3823,T4STY,0.585,38,65,38,65,0.585,0,0,0.000,Hunter
59,0323,foxfang,0.583,7,12,7,12,0.583,0,0,0.000,Hunter
60,5077,tripwire,0.583,14,24,14,24,0.583,0,0,0.000,Hunter
61,1260,Bwx3-00,0.579,22,38,0,0,0.000,22,38,0.579,Bounty
62,9421,Helios,0.571,8,14,0,0,0.000,8,14,0.571,Bounty
63,6301,Figment,0.571,8,14,0,0,0.000,8,14,0.571,Bounty
64,1518,griff,0.568,63,111,63,111,0.568,0,0,0.000,Hunter
65,5690,Callsign,0.562,9,16,9,16,0.562,0,0,0.000,Hunter
66,3326,meckromancer,0.562,45,80,45,80,0.562,0,0,0.000,Hunter
67,2638,Ceber.exe,0.559,19,34,0,0,0.000,19,34,0.559,Bounty
68,8606,Reggie Bloodletter,0.558,376,674,376,674,0.558,0,0,0.000,Hunter
69,2418,Therin,0.556,5,9,5,9,0.556,0,0,0.000,Hunter
70,6469,Rich,0.556,5,9,0,0,0.000,5,9,0.556,Bounty
71,1405,checkmate,0.550,11,20,11,20,0.550,0,0,0.000,Hunter
72,9462,pollux,0.550,11,20,0,0,0.000,11,20,0.550,Bounty
73,2347,flerken,0.545,12,22,0,0,0.000,12,22,0.545,Bounty
74,9246,7imber,0.541,33,61,0,0,0.000,33,61,0.541,Bounty
75,5706,J-Tech,0.538,7,13,0,0,0.000,7,13,0.538,Bounty
76,2270,the commandant,0.533,8,15,0,0,0.000,8,15,0.533,Bounty
